Run, Subruns, All fills, Laser fills, Tracks, Quality tracks, Vertices, Quality vertices
17439, 125, 13596, 1237, 1903938, 238179, 1854938, 122297
17438, 186, 20221, 1840, 2847365, 356402, 2773806, 182824
17444, 45, 4907, 447, 681689, 85301, 664067, 43903
17441, 321, 36569, 3321, 4502039, 562257, 4386206, 288598
17445, 152, 16292, 1481, 2371432, 293536, 2309838, 149790
17446, 201, 21219, 1930, 3157159, 393129, 3075469, 200410
17447, 122, 12949, 1177, 1917240, 236791, 1866723, 119812
17449, 137, 14615, 1329, 2128027, 261676, 2070745, 131334
17448, 170, 18020, 1636, 2664060, 329032, 2592883, 166159
17451, 241, 25779, 2342, 3768211, 467752, 3671346, 239623
17450, 453, 48451, 4409, 7052711, 877867, 6869667, 449506
17452, 437, 46688, 4246, 6791595, 842631, 6615696, 430844
17453, 491, 52510, 4773, 7640063, 946253, 7442399, 482660
17454, 469, 50116, 4558, 7304597, 904663, 7115141, 462320
17456, 144, 15397, 1400, 2243573, 276569, 2185714, 141403
17459, 6, 644, 58, 93049, 11476, 90718, 5858
17458, 112, 13984, 1270, 1298049, 161846, 1264221, 81651
17466, 34, 3639, 331, 520597, 62710, 507021, 31907
17457, 268, 29412, 2671, 3981957, 493775, 3878027, 251967
17468, 46, 4982, 454, 697923, 83576, 679517, 42768
17455, 429, 45855, 4167, 6675395, 825924, 6503011, 422393
17472, 42, 4564, 416, 633490, 75820, 616905, 38670
17475, 16, 1696, 155, 240696, 28922, 234357, 14691
17470, 310, 33596, 3056, 4687453, 562669, 4564864, 287463
17477, 15, 1612, 147, 228921, 27223, 222977, 13814
17467, 442, 47643, 4333, 6755399, 812855, 6578886, 415602
17471, 370, 40060, 3641, 5595156, 672262, 5447898, 343639
17493, 279, 30083, 2733, 4273803, 515080, 4161746, 262805
17476, 470, 50441, 4583, 7167681, 859685, 6979110, 438590
17499, 402, 43321, 3938, 6254358, 756890, 6091090, 386802
17500, 425, 45664, 4152, 6580384, 798178, 6407527, 407321
17501, 374, 39911, 3626, 5822989, 707266, 5670968, 362320
17502, 448, 47896, 4356, 7011965, 853369, 6828837, 436221
17503, 363, 38773, 3524, 5658019, 685845, 5509769, 350413
17504, 406, 43451, 3951, 6284361, 763745, 6119590, 390180
17521, 3, 321, 29, 47136, 5718, 45921, 2928
17505, 207, 22160, 2014, 3203545, 389351, 3120129, 199588
17520, 244, 26086, 2373, 3872263, 468701, 3771293, 238776
17506, 400, 42851, 3894, 6184273, 752223, 6022854, 385348
17524, 380, 40585, 3693, 6001870, 723690, 5843698, 368836
17523, 367, 39231, 3566, 5832753, 704933, 5680162, 359333
17525, 403, 43069, 3918, 6338855, 766220, 6172919, 391503
17526, 428, 45779, 4158, 6742958, 817487, 6565998, 418055
17527, 369, 39402, 3584, 5847971, 709676, 5694980, 362622
